Username,Condition.Description,Direction,Block,JOL,Recall,Version,,Get Means,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,40,42.51272313,48.36103475,50.31090461,37.32884438,,48.65838726,,F Smoothed,23.33333333,36.39589169,45.28478058,53.89384921,56.07638889,64.07638889,68.88709677,76.63799283,77.97132616,78.28264209,79.42857143
w10052853_jrs,READ,F,2,20,0,sona,,50,46.29618846,50.03500175,50.2192993,42.54356298,,49.57577328,,Calibration,0.5,10,20,30,40,50,60,70,80,90,100
w10054290_kw,READ,F,2,100,100,sona,,60,48.75571875,44.08440023,48.968196,40.50957468,,50.00961182,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,70,100,sona,,70,50.16694537,41.3086536,49.95047052,34.43502216,,49.63829155,,F Unsmoothed,23.33333333,38.23529412,47.61904762,50,64.0625,54.16666667,74,78.49462366,77.41935484,78,79.42857143
w10054290_kw,READ,B,2,100,0,sona,,80,45.77193925,42.03785111,46.5316717,42.16370214,,49.24780047,,,,,,,,,,,,,
w10052154_DJM,READ,U,2,50,0,sona,,90,45.99570935,41.63331999,50.21191923,39.58473907,,50.07733048,,95% CI,Serial Position,,,,,,,,,,
w10052853_jrs,READ,U,2,20,0,sona,,100,49.06134997,40.5382505,45.09628011,50.23561221,,45.92637516,,Direction,0,1,2,3,4,5,6,7,8,9,10
w10054290_kw,READ,U,2,0,100,sona,,(blank),,,,,,,,Forward,43.01830672,49.32702181,50.34443576,50.40817004,48.36103475,50.03500175,44.08440023,41.3086536,42.03785111,41.63331999,40.5382505
w10052853_jrs,READ,F,2,10,0,sona,,Grand Total,47.51043315,47.15306828,49.68847745,36.46805118,,49.58462543,,,5.000776578,5.734149811,5.852421781,5.85983074,5.621856097,5.816450808,5.124707432,4.80203344,4.886800929,4.839775142,4.7124759
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,9.801522094,11.23893363,11.47074669,11.48526825,11.01883795,11.40024358,10.04442657,9.411985543,9.578129821,9.485959278,9.236452763
w10052853_jrs,READ,S,2,80,100,sona,,Get ns,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,Row Labels,Count of Direction,,,,,,,Mean,23.33333333,36.39589169,45.28478058,53.89384921,56.07638889,64.07638889,68.88709677,76.63799283,77.97132616,78.28264209,79.42857143
w10052853_jrs,READ,B,2,20,0,sona,1,2,42,,,,,,,Upper,33.13485543,47.63482532,56.75552727,65.37911746,67.09522684,75.47663247,78.93152334,86.04997837,87.54945599,87.76860137,88.66502419
w10054290_kw,READ,B,2,100,100,sona,2,3,33,,,,,,,Lower,13.53181124,25.15695806,33.81403389,42.40858096,45.05755094,52.6761453,58.84267021,67.22600729,68.39319634,68.79668281,70.19211867
w10052154_DJM,READ,F,2,100,100,sona,3,4,66,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,80,100,sona,4,13,80,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,5,14,61,,,,,,,Symmetrical,,,,,,,,,,,
w10052154_DJM,READ,B,2,100,0,sona,6,15,63,,,,,,,Average,Bin,,,,,,,,,,
w10052853_jrs,READ,B,2,20,0,sona,7,16,9,,,,,,,Direction,0,10,20,30,40,50,60,70,80,90,100
w10054290_kw,READ,B,2,100,100,sona,8,597889de37978a00016b3664,79,,,,,,,S Smoothed,16,27.35714286,36.02380952,42.46244131,47.10529846,53.58722617,56.10663304,61.95228164,57.678305,63.12808075,71.79487179
w10052154_DJM,READ,U,2,0,0,sona,9,59ad75aba372d6000157ee35,80,,,,,,,Calibration,0.5,10,20,30,40,50,60,70,80,90,100
w10052853_jrs,READ,U,2,10,0,sona,10,5d51d781dc299300183ce5e2,79,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,11,5d77276261be59001a9ad7d5,79,,,,,,,S Unsmoothed,16,28.57142857,37.5,42,47.88732394,51.42857143,61.44578313,55.44554455,68.96551724,48.62385321,71.79487179
w10052853_jrs,READ,U,2,10,0,sona,12,5d8e33bc4bf4ba00170a8ae9,68,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,100,100,sona,13,5db1b2202b45640009cfcb36,69,,,,,,,95% CI,Serial Position,,,,,,,,,,
w10052853_jrs,READ,F,2,60,0,sona,14,5dc0a951c4c14f05077806b0,80,,,,,,,Direction,0,1,2,3,4,5,6,7,8,9,10
w10054290_kw,READ,F,2,100,100,sona,15,5ddb09c1ac504aa6abd2733f,70,,,,,,,Symmetrical,37.41657387,45.83492485,48.92460548,49.85693819,50.31090461,50.2192993,48.968196,49.95047052,46.5316717,50.21191923,45.09628011
w10052853_jrs,READ,U,2,0,0,sona,16,5e1b328e477f3b36d6857778,68,,,,,,,,4.349588362,5.328201786,5.687369863,5.79575134,5.848523864,5.837874963,5.692437159,5.806624252,5.409196962,5.837017048,5.242336079
w10054290_kw,READ,U,2,0,0,sona,17,5e88a4f92d6f5c0008b31b3c,61,,,,,,,,8.52519319,10.4432755,11.14724493,11.35967263,11.46310677,11.44223493,11.15717683,11.38098353,10.60202605,11.44055341,10.27497872
w10052853_jrs,READ,F,2,40,100,sona,18,5eaaba7e30d6b901782c0ec0,78,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,0,sona,19,5eb9bc935b6de20e446196fd,79,,,,,,,Mean,16,27.35714286,36.02380952,42.46244131,47.10529846,53.58722617,56.10663304,61.95228164,57.678305,63.12808075,71.79487179
w10052853_jrs,READ,U,2,10,0,sona,20,5ec52fd2306f2548d71214b2,30,,,,,,,Upper,24.52519319,37.80041836,47.17105446,53.82211394,58.56840523,65.0294611,67.26380987,73.33326518,68.28033105,74.56863416,82.06985051
w10054290_kw,READ,U,2,0,100,sona,21,5ec70087ac7d6b14612ce128,5,,,,,,,Lower,7.47480681,16.91386736,24.87656459,31.10276869,35.64219168,42.14499124,44.94945621,50.57129811,47.07627896,51.68752734,61.51989308
w10052853_jrs,READ,F,2,50,0,sona,22,5ed7fb6f9a8d502e6cd44f97,46,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,23,5ee89fbde8a73d1ab80f0bae,30,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,50,0,sona,24,5ee93736ead07b2c7ad4d111,29,,,,,,,Unrelated,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,25,5eff368f8f20d547f17e77d8,75,,,,,,,Average,Bin,,,,,,,,,,
w10052154_DJM,READ,S,2,100,100,sona,26,5f020cb902f4ca09953537c5,13,,,,,,,Direction,0,10,20,30,40,50,60,70,80,90,100
w10052853_jrs,READ,S,2,30,0,sona,27,5f02bbeb5ac5f8432d35fddd,41,,,,,,,U Smoothed,8.108108108,14.89986227,18.05301542,17.66954308,19.01264442,19.82345523,18.70680045,17.68115942,17.18733226,31.64292498,56.41025641
w10054290_kw,READ,S,2,100,0,sona,28,5f1587d28ee50f036977fe26,69,,,,,,,Calibration,0.5,10,20,30,40,50,60,70,80,90,100
w982395_JEM,READ,S,2,20,0,sona,29,5f15af887ef02508797aa5a9,65,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,20,0,sona,30,5f2b073cd89f884af27c3c54,72,,,,,,,U Unsmoothed,8.108108108,17.54385965,19.04761905,17.56756757,16.39344262,23.07692308,20,13.04347826,20,18.51851852,56.41025641
w10054290_kw,READ,S,2,100,100,sona,31,5f2f83b308a6c63831ec86aa,19,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,F,2,100,0,sona,32,5f44fb00d516570500795789,45,,,,,,,95% CI,Serial Position,,,,,,,,,,
w10052853_jrs,READ,F,2,20,0,sona,33,961831MM,2,,,,,,,Direction,0,1,2,3,4,5,6,7,8,9,10
w10054290_kw,READ,F,2,100,0,sona,34,w10006460,80,,,,,,,Unrelated,27.33292066,38.20210353,39.50351662,38.31415958,37.32884438,42.54356298,40.50957468,34.43502216,42.16370214,39.58473907,50.23561221
w10052853_jrs,READ,B,2,40,0,sona,35,w10006820_KPH,31,,,,,,,,3.177387487,4.44090433,4.59219053,4.453930581,4.339390017,4.94558874,4.709142403,4.002990016,4.901430814,4.601632447,5.8397713
w10054290_kw,READ,B,2,100,100,sona,36,w10012481,63,,,,,,,,6.227679475,8.704172488,9.000693438,8.729703939,8.505204432,9.693353931,9.229919111,7.845860431,9.606804395,9.019199596,11.44595175
w10052853_jrs,READ,U,2,0,0,sona,37,w10013152_klj,80,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,100,sona,38,w10021803mm,65,,,,,,,Mean,8.108108108,14.89986227,18.05301542,17.66954308,19.01264442,19.82345523,18.70680045,17.68115942,17.18733226,31.64292498,56.41025641
w10052154_DJM,READ,B,2,100,0,sona,39,w10025409_jnl,65,,,,,,,Upper,14.33578758,23.60403476,27.05370886,26.39924702,27.51784885,29.51680916,27.93671956,25.52701985,26.79413666,40.66212457,67.85620816
w10052853_jrs,READ,B,2,0,0,sona,40,w10042487MGS,3,,,,,,,Lower,1.880428634,6.195689781,9.052321984,8.93983914,10.50743999,10.1301013,9.476881335,9.835298989,7.580527864,22.62372538,44.96430466
w10054290_kw,READ,B,2,100,100,sona,41,w10042962_jkc,66,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,F,2,100,100,sona,42,w10044784_jlg,48,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,50,100,sona,43,w10047307_mb,29,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,44,w10051663JA,4,,,,,,,,,,,,,,,,,,
w982395_JEM,READ,F,2,20,0,sona,45,w10052154_DJM,23,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,80,0,sona,46,w10052853_jrs,80,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,0,100,sona,47,w10054290_kw,80,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,40,100,sona,48,w10060383,2,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,0,sona,49,w10063353_sdp,62,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,U,2,0,0,sona,50,w10064569ch,44,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,10,0,sona,51,w10064595,38,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,52,w10070345,76,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,30,100,sona,53,w10076838,77,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,54,w10084213_amm,53,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,20,100,sona,55,w10084909JR,2,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,56,W10091817_AB,8,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,10,0,sona,57,w10092569,15,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,100,0,sona,58,w10103859_cn,79,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,30,0,sona,59,w322833_tr,41,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,60,w607144_cdb,38,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,40,100,sona,61,W832552_JRR,65,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,62,w841337_kjm,43,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,B,2,100,0,sona,63,w917542_rm,60,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,10,0,sona,64,w924600,10,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,65,w927437_AH,67,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,50,0,sona,66,w970137,77,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,67,w970403mb,6,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,40,0,sona,68,w979990amf,7,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,69,w981975_sha,50,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,40,0,sona,70,w982395_JEM,5,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,71,w982469AN,77,,,,,,,,,,,,,,,,,,
w982395_JEM,READ,B,2,0,0,sona,72,w986849_pem,80,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,50,100,sona,73,w990058RAL,39,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,74,w998682_dan,79,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,0,0,sona,,(blank),,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,100,sona,,Grand Total,3702,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,80,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,40,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,U,2,0,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w982395_JEM,READ,U,2,50,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,30,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,70,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,40,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,50,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,U,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,60,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,80,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,70,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,70,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,60,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,60,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,F,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,30,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,50,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,B,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,50,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,B,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,40,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,10,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,10,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,F,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,40,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,B,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,30,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,60,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,60,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,U,2,10,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,30,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,F,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052154_DJM,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,S,2,20,100,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10052853_jrs,READ,B,2,50,0,sona,,,,,,,,,,,,,,,,,,,,,
w10054290_kw,READ,B,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,U,2,50,0,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,U,2,30,100,sona,,,,,,,,,,,,,,,,,,,,,
w841337_kjm,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,U,2,60,0,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,U,2,20,0,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,U,2,30,100,sona,,,,,,,,,,,,,,,,,,,,,
w841337_kjm,READ,U,2,0,0,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,S,2,80,100,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,S,2,50,100,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w990058RAL,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,F,2,50,100,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,F,2,50,100,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,F,2,60,100,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w841337_kjm,READ,F,2,30,100,sona,,,,,,,,,,,,,,,,,,,,,
w990058RAL,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,F,2,0,100,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,F,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,F,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,B,2,90,0,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,B,2,40,0,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,B,2,10,100,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,B,2,60,0,sona,,,,,,,,,,,,,,,,,,,,,
w841337_kjm,READ,B,2,10,0,sona,,,,,,,,,,,,,,,,,,,,,
w990058RAL,READ,B,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,S,2,0,100,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,S,2,80,0,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w841337_kjm,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w990058RAL,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,S,2,70,100,sona,,,,,,,,,,,,,,,,,,,,,
w10044784_jlg,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10063353_sdp,READ,S,2,100,100,sona,,,,,,,,,,,,,,,,,,,,,
w607144_cdb,READ,S,2,100,0,sona,,,,,,,,,,,,,,,,,,,,,
w10013152_klj,READ,U,2,0,100,sona,,,,,,,,,,,,,,,,,,,,,
w10021803mm,READ,U,2,50,0,sona,,,,,,,,,,,,,,,,,,,,,
