"ExperimentName","Subject","Block","list","Procedure.Block.","cue_target","Direction","ListNum","JOL","JOL_RT","Procedure.Trial.","Type","Recall_prompt","ListNum.1","Response"
"IS_JOL A",5,1,3,"BlockProc1","Take - Seize","B",24,NA,NA,"StudyProc7","JOL","Take - ?",24,""
"IS_JOL A",5,1,3,"BlockProc1","Height - Growth","B",25,NA,NA,"StudyProc7","JOL","Height - ?",25,""
"IS_JOL A",5,1,3,"BlockProc1","Sentence - Word","B",26,NA,NA,"StudyProc7","JOL","Sentence - ?",26,"word"
"IS_JOL A",5,1,3,"BlockProc1","Bug - Wasp","B",27,NA,NA,"StudyProc7","JOL","Bug - ?",27,"hornet"
"IS_JOL A",5,1,3,"BlockProc1","Math - Division","B",28,NA,NA,"StudyProc7","JOL","Math - ?",28,"divison"
"IS_JOL A",5,1,3,"BlockProc1","Law - Attorney","B",29,NA,NA,"StudyProc7","JOL","Law - ?",29,"attorney"
"IS_JOL A",5,1,3,"BlockProc1","Great - Fantastic","B",30,NA,NA,"StudyProc7","JOL","Great - ?",30,""
"IS_JOL A",5,1,3,"BlockProc1","Key - Latch","B",31,NA,NA,"StudyProc7","JOL","Key - ?",31,""
"IS_JOL A",5,1,3,"BlockProc1","Hot - Chili","B",32,NA,NA,"StudyProc7","JOL","Hot - ?",32,""
"IS_JOL A",5,1,3,"BlockProc1","Ball - Racket","B",33,NA,NA,"StudyProc7","JOL","Ball - ?",33,""
"IS_JOL A",5,1,3,"BlockProc1","Work - Chore","B",34,NA,NA,"StudyProc7","JOL","Work - ?",34,""
"IS_JOL A",5,1,3,"BlockProc1","Hunger - Famine","B",35,NA,NA,"StudyProc7","JOL","Hunger - ?",35,"famine"
"IS_JOL A",5,1,3,"BlockProc1","Sleep - Drowsy","B",36,NA,NA,"StudyProc7","JOL","Sleep - ?",36,"dreary"
"IS_JOL A",5,1,3,"BlockProc1","Smell - Stench","B",37,NA,NA,"StudyProc7","JOL","Smell - ?",37,"stench"
"IS_JOL A",5,1,3,"BlockProc1","Clothes - Attire","B",38,NA,NA,"StudyProc7","JOL","Clothes - ?",38,"attire"
"IS_JOL A",5,1,3,"BlockProc1","Plane - Pilot","B",39,NA,NA,"StudyProc7","JOL","Plane - ?",39,"pilot"
"IS_JOL A",5,1,3,"BlockProc1","Fire - Blaze","B",40,NA,NA,"StudyProc7","JOL","Fire - ?",40,"blaze"
"IS_JOL A",5,1,3,"BlockProc1","Due - Assignment","S",41,80,3026,"StudyProc3","JOL","Due - ?",41,"assignment"
"IS_JOL A",5,1,3,"BlockProc1","Number - Amount","S",42,90,3062,"StudyProc3","JOL","Number - ?",42,""
"IS_JOL A",5,1,3,"BlockProc1","Location - Site","S",43,90,2574,"StudyProc3","JOL","Location - ?",43,""
"IS_JOL A",5,1,3,"BlockProc1","Dump - Waste","S",44,40,5729,"StudyProc3","JOL","Dump - ?",44,""
"IS_JOL A",5,1,3,"BlockProc1","Trial - Jury","S",45,100,6296,"StudyProc3","JOL","Trial - ?",45,""
"IS_JOL A",5,1,3,"BlockProc1","Architecture - Design","S",46,15,3418,"StudyProc3","JOL","Architecture - ?",46,"design"
"IS_JOL A",5,1,3,"BlockProc1","Grill - Bar","S",47,95,5480,"StudyProc3","JOL","Grill - ?",47,"bar"
"IS_JOL A",5,1,3,"BlockProc1","Kidney - Liver","S",48,90,2563,"StudyProc3","JOL","Kidney - ?",48,"liver"
"IS_JOL A",5,1,3,"BlockProc1","Begin - End","S",49,100,3324,"StudyProc3","JOL","Begin - ?",49,"end"
"IS_JOL A",5,1,3,"BlockProc1","Blow - Wind","S",50,70,11100,"StudyProc3","JOL","Blow - ?",50,"wind"
"IS_JOL A",5,1,3,"BlockProc1","Pop - Soda","S",51,100,3036,"StudyProc3","JOL","Pop - ?",51,"soda"
"IS_JOL A",5,1,3,"BlockProc1","Wine - Cheese","S",52,100,7012,"StudyProc3","JOL","Wine - ?",52,""
"IS_JOL A",5,1,3,"BlockProc1","Bathroom - Toilet","S",53,100,8581,"StudyProc3","JOL","Bathroom - ?",53,"toilet"
"IS_JOL A",5,1,3,"BlockProc1","Lettuce - Salad","S",54,100,2764,"StudyProc3","JOL","Lettuce - ?",54,"salad"
"IS_JOL A",5,1,3,"BlockProc1","Shoe - Foot","S",55,100,4034,"StudyProc3","JOL","Shoe - ?",55,"foot"
"IS_JOL A",5,1,3,"BlockProc1","Past - Future","S",56,100,5150,"StudyProc3","JOL","Past - ?",56,"future"
"IS_JOL A",5,1,3,"BlockProc1","Choice - Decision","S",57,70,4513,"StudyProc3","JOL","Choice - ?",57,"decision"
"IS_JOL A",5,1,3,"BlockProc1","Honey - Bee","S",58,100,2975,"StudyProc3","JOL","Honey - ?",58,"bee"
"IS_JOL A",5,1,3,"BlockProc1","Baby - Child","S",59,100,2443,"StudyProc3","JOL","Baby - ?",59,"child"
"IS_JOL A",5,1,3,"BlockProc1","Circle - Round","S",60,100,4028,"StudyProc3","JOL","Circle - ?",60,"round"
"IS_JOL A",5,1,3,"BlockProc1","Pusher - Clutter","U",61,10,4018,"StudyProc3","JOL","Pusher - ?",61,""
"IS_JOL A",5,1,3,"BlockProc1","Dietary - Slacking","U",62,10,8262,"StudyProc3","JOL","Dietary - ?",62,"food"
"IS_JOL A",5,1,3,"BlockProc1","Park - Hungry","U",63,25,6907,"StudyProc3","JOL","Park - ?",63,"food"
"IS_JOL A",5,1,3,"BlockProc1","Lift - Woman","U",64,20,4339,"StudyProc3","JOL","Lift - ?",64,""
"IS_JOL A",5,1,3,"BlockProc1","Soon - Belt","U",65,40,6172,"StudyProc3","JOL","Soon - ?",65,""
"IS_JOL A",5,1,3,"BlockProc1","Discover - Floor","U",66,10,8013,"StudyProc3","JOL","Discover - ?",66,""
"IS_JOL A",5,1,3,"BlockProc1","Death - Business","U",67,70,4058,"StudyProc3","JOL","Death - ?",67,"business"
"IS_JOL A",5,1,3,"BlockProc1","Debate - Sight","U",68,15,4790,"StudyProc3","JOL","Debate - ?",68,""
"IS_JOL A",5,1,3,"BlockProc1","Artery - Bronze","U",69,30,7405,"StudyProc3","JOL","Artery - ?",69,"bronze"
"IS_JOL A",5,1,3,"BlockProc1","Fix - Hand","U",70,80,4255,"StudyProc3","JOL","Fix - ?",70,""
"IS_JOL A",5,1,3,"BlockProc1","Machine - Position","U",71,55,5829,"StudyProc3","JOL","Machine - ?",71,""
"IS_JOL A",5,1,3,"BlockProc1","Happy - Car","U",72,60,6971,"StudyProc3","JOL","Happy - ?",72,"car"
"IS_JOL A",5,1,3,"BlockProc1","Allow - Tuck","U",73,35,4108,"StudyProc3","JOL","Allow - ?",73,"let"
"IS_JOL A",5,1,3,"BlockProc1","Art - Lion","U",74,20,3583,"StudyProc3","JOL","Art - ?",74,""
"IS_JOL A",5,1,3,"BlockProc1","Strong - Accident","U",75,35,5735,"StudyProc3","JOL","Strong - ?",75,""
"IS_JOL A",5,1,3,"BlockProc1","Sugar - Riddle","U",76,40,3669,"StudyProc3","JOL","Sugar - ?",76,""
"IS_JOL A",5,1,3,"BlockProc1","Valley - Add","U",77,0,2980,"StudyProc3","JOL","Valley - ?",77,""
"IS_JOL A",5,1,3,"BlockProc1","Cash - Would","U",78,10,3324,"StudyProc3","JOL","Cash - ?",78,""
"IS_JOL A",5,1,3,"BlockProc1","Hide - Sick","U",79,20,4041,"StudyProc3","JOL","Hide - ?",79,""
"IS_JOL A",5,1,3,"BlockProc1","King - Vase","U",80,30,3697,"StudyProc3","JOL","King - ?",80,"vase"
"RL_JOL A",9,1,3,"BlockProc1","Hornet - Sting","F",6,NA,NA,"StudyProc7","JOL","Hornet - ?",6,"sting"
"RL_JOL A",9,1,3,"BlockProc1","Bitter - Cold","F",7,NA,NA,"StudyProc7","JOL","Bitter - ?",7,"sour"
"RL_JOL A",9,1,3,"BlockProc1","Root - Plant","F",8,NA,NA,"StudyProc7","JOL","Root - ?",8,"tree"
"RL_JOL A",9,1,3,"BlockProc1","Swan - Bird","F",9,NA,NA,"StudyProc7","JOL","Swan - ?",9,"dove"
"RL_JOL A",9,1,3,"BlockProc1","Paw - Dog","F",10,NA,NA,"StudyProc7","JOL","Paw - ?",10,"dog"
"RL_JOL A",9,1,3,"BlockProc1","Way - Out","F",11,NA,NA,"StudyProc7","JOL","Way - ?",11,"out"
"RL_JOL A",9,1,3,"BlockProc1","Hygiene - Clean","F",12,NA,NA,"StudyProc7","JOL","Hygiene - ?",12,"clean"
"RL_JOL A",9,1,3,"BlockProc1","Bridge - Water","F",13,NA,NA,"StudyProc7","JOL","Bridge - ?",13,"water"
"RL_JOL A",9,1,3,"BlockProc1","Geology - Rock","F",14,NA,NA,"StudyProc7","JOL","Geology - ?",14,"rock"
"RL_JOL A",9,1,3,"BlockProc1","Revolution - War","F",15,NA,NA,"StudyProc7","JOL","Revolution - ?",15,"war"
"RL_JOL A",9,1,3,"BlockProc1","Discussion - Talk","F",16,NA,NA,"StudyProc7","JOL","Discussion - ?",16,"question"
"RL_JOL A",9,1,3,"BlockProc1","Herd - Cow","F",17,NA,NA,"StudyProc7","JOL","Herd - ?",17,"cow"
"RL_JOL A",9,1,3,"BlockProc1","Credit - Card","F",18,NA,NA,"StudyProc7","JOL","Credit - ?",18,"card"
"RL_JOL A",9,1,3,"BlockProc1","Orchid - Flower","F",19,NA,NA,"StudyProc7","JOL","Orchid - ?",19,"flower"
"RL_JOL A",9,1,3,"BlockProc1","Tuna - Fish","F",20,NA,NA,"StudyProc7","JOL","Tuna - ?",20,"fish"
"RL_JOL A",9,1,3,"BlockProc1","Full - Enough","B",21,NA,NA,"StudyProc7","JOL","Full - ?",21,""
"RL_JOL A",9,1,3,"BlockProc1","Drink - Sip","B",22,NA,NA,"StudyProc7","JOL","Drink - ?",22,"eat"
"RL_JOL A",9,1,3,"BlockProc1","Dark - Cave","B",23,NA,NA,"StudyProc7","JOL","Dark - ?",23,"light"
"RL_JOL A",9,1,3,"BlockProc1","Take - Seize","B",24,NA,NA,"StudyProc7","JOL","Take - ?",24,"off"
"RL_JOL A",9,1,3,"BlockProc1","Height - Growth","B",25,NA,NA,"StudyProc7","JOL","Height - ?",25,"weight"
"RL_JOL A",9,1,3,"BlockProc1","Sentence - Word","B",26,NA,NA,"StudyProc7","JOL","Sentence - ?",26,"end"
"RL_JOL A",9,1,3,"BlockProc1","Bug - Wasp","B",27,NA,NA,"StudyProc7","JOL","Bug - ?",27,"wasp"
"RL_JOL A",9,1,3,"BlockProc1","Math - Division","B",28,NA,NA,"StudyProc7","JOL","Math - ?",28,"division"
"RL_JOL A",9,1,3,"BlockProc1","Law - Attorney","B",29,NA,NA,"StudyProc7","JOL","Law - ?",29,"effect"
"RL_JOL A",9,1,3,"BlockProc1","Great - Fantastic","B",30,NA,NA,"StudyProc7","JOL","Great - ?",30,"bad"
"RL_JOL A",9,1,3,"BlockProc1","Key - Latch","B",31,NA,NA,"StudyProc7","JOL","Key - ?",31,"match"
"RL_JOL A",9,1,3,"BlockProc1","Hot - Chili","B",32,NA,NA,"StudyProc7","JOL","Hot - ?",32,"chili"
"RL_JOL A",9,1,3,"BlockProc1","Ball - Racket","B",33,NA,NA,"StudyProc7","JOL","Ball - ?",33,"sport"
"RL_JOL A",9,1,3,"BlockProc1","Work - Chore","B",34,NA,NA,"StudyProc7","JOL","Work - ?",34,"job"
"RL_JOL A",9,1,3,"BlockProc1","Hunger - Famine","B",35,NA,NA,"StudyProc7","JOL","Hunger - ?",35,"famine"
"RL_JOL A",9,1,3,"BlockProc1","Sleep - Drowsy","B",36,NA,NA,"StudyProc7","JOL","Sleep - ?",36,"deprived"
"RL_JOL A",9,1,3,"BlockProc1","Smell - Stench","B",37,NA,NA,"StudyProc7","JOL","Smell - ?",37,"stinch"
"RL_JOL A",9,1,3,"BlockProc1","Clothes - Attire","B",38,NA,NA,"StudyProc7","JOL","Clothes - ?",38,"fashion"
"RL_JOL A",9,1,3,"BlockProc1","Plane - Pilot","B",39,NA,NA,"StudyProc7","JOL","Plane - ?",39,""
"RL_JOL A",9,1,3,"BlockProc1","Fire - Blaze","B",40,NA,NA,"StudyProc7","JOL","Fire - ?",40,""
"RL_JOL A",9,1,3,"BlockProc1","Due - Assignment","S",41,95,3329,"StudyProc3","JOL","Due - ?",41,"assignment"
"RL_JOL A",9,1,3,"BlockProc1","Number - Amount","S",42,65,2448,"StudyProc3","JOL","Number - ?",42,""
"RL_JOL A",9,1,3,"BlockProc1","Location - Site","S",43,20,4346,"StudyProc3","JOL","Location - ?",43,"park"
"RL_JOL A",9,1,3,"BlockProc1","Dump - Waste","S",44,75,2519,"StudyProc3","JOL","Dump - ?",44,"waste"
"RL_JOL A",9,1,3,"BlockProc1","Trial - Jury","S",45,70,3482,"StudyProc3","JOL","Trial - ?",45,"error"
"RL_JOL A",9,1,3,"BlockProc1","Architecture - Design","S",46,40,2603,"StudyProc3","JOL","Architecture - ?",46,"build"
"RL_JOL A",9,1,3,"BlockProc1","Grill - Bar","S",47,67,2329,"StudyProc3","JOL","Grill - ?",47,"out"
"RL_JOL A",9,1,3,"BlockProc1","Kidney - Liver","S",48,70,3102,"StudyProc3","JOL","Kidney - ?",48,"liver"
"RL_JOL A",9,1,3,"BlockProc1","Begin - End","S",49,100,2839,"StudyProc3","JOL","Begin - ?",49,"end"
"RL_JOL A",9,1,3,"BlockProc1","Blow - Wind","S",50,65,2987,"StudyProc3","JOL","Blow - ?",50,""
"RL_JOL A",9,1,3,"BlockProc1","Pop - Soda","S",51,100,2263,"StudyProc3","JOL","Pop - ?",51,"soda"
"RL_JOL A",9,1,3,"BlockProc1","Wine - Cheese","S",52,70,8525,"StudyProc3","JOL","Wine - ?",52,"alcohol"
"RL_JOL A",9,1,3,"BlockProc1","Bathroom - Toilet","S",53,100,2740,"StudyProc3","JOL","Bathroom - ?",53,"toilet"
"RL_JOL A",9,1,3,"BlockProc1","Lettuce - Salad","S",54,95,4315,"StudyProc3","JOL","Lettuce - ?",54,"salad"
"RL_JOL A",9,1,3,"BlockProc1","Shoe - Foot","S",55,75,3570,"StudyProc3","JOL","Shoe - ?",55,"lift"
"RL_JOL A",9,1,3,"BlockProc1","Past - Future","S",56,100,2542,"StudyProc3","JOL","Past - ?",56,"future"
"RL_JOL A",9,1,3,"BlockProc1","Choice - Decision","S",57,40,3171,"StudyProc3","JOL","Choice - ?",57,""
"RL_JOL A",9,1,3,"BlockProc1","Honey - Bee","S",58,100,3405,"StudyProc3","JOL","Honey - ?",58,"bee"
"RL_JOL A",9,1,3,"BlockProc1","Baby - Child","S",59,100,2082,"StudyProc3","JOL","Baby - ?",59,"child"
"RL_JOL A",9,1,3,"BlockProc1","Circle - Round","S",60,90,2898,"StudyProc3","JOL","Circle - ?",60,"round"
"RL_JOL A",9,1,3,"BlockProc1","Pusher - Clutter","U",61,0,2263,"StudyProc3","JOL","Pusher - ?",61,"pushed"
"RL_JOL A",9,1,3,"BlockProc1","Dietary - Slacking","U",62,76,3911,"StudyProc3","JOL","Dietary - ?",62,"hungry"
"RL_JOL A",9,1,3,"BlockProc1","Park - Hungry","U",63,20,3376,"StudyProc3","JOL","Park - ?",63,"bench"
"RL_JOL A",9,1,3,"BlockProc1","Lift - Woman","U",64,25,4370,"StudyProc3","JOL","Lift - ?",64,"up"
"RL_JOL A",9,1,3,"BlockProc1","Soon - Belt","U",65,0,2456,"StudyProc3","JOL","Soon - ?",65,"later"
"RL_JOL A",9,1,3,"BlockProc1","Discover - Floor","U",66,0,1769,"StudyProc3","JOL","Discover - ?",66,"identity"
"RL_JOL A",9,1,3,"BlockProc1","Death - Business","U",67,20,3923,"StudyProc3","JOL","Death - ?",67,"toll"
"RL_JOL A",9,1,3,"BlockProc1","Debate - Sight","U",68,0,1295,"StudyProc3","JOL","Debate - ?",68,"argue"
"RL_JOL A",9,1,3,"BlockProc1","Artery - Bronze","U",69,0,2178,"StudyProc3","JOL","Artery - ?",69,"vein"
"RL_JOL A",9,1,3,"BlockProc1","Fix - Hand","U",70,0,4032,"StudyProc3","JOL","Fix - ?",70,""
"RL_JOL A",9,1,3,"BlockProc1","Machine - Position","U",71,15,4133,"StudyProc3","JOL","Machine - ?",71,"error"
"RL_JOL A",9,1,3,"BlockProc1","Happy - Car","U",72,0,1814,"StudyProc3","JOL","Happy - ?",72,"sad"
"RL_JOL A",9,1,3,"BlockProc1","Allow - Tuck","U",73,0,2175,"StudyProc3","JOL","Allow - ?",73,"let"
"RL_JOL A",9,1,3,"BlockProc1","Art - Lion","U",74,0,1841,"StudyProc3","JOL","Art - ?",74,"paint"
"RL_JOL A",9,1,3,"BlockProc1","Strong - Accident","U",75,0,3862,"StudyProc3","JOL","Strong - ?",75,"weak"
"RL_JOL A",9,1,3,"BlockProc1","Sugar - Riddle","U",76,0,1572,"StudyProc3","JOL","Sugar - ?",76,"sweet"
"RL_JOL A",9,1,3,"BlockProc1","Valley - Add","U",77,0,1847,"StudyProc3","JOL","Valley - ?",77,"hill"
"RL_JOL A",9,1,3,"BlockProc1","Cash - Would","U",78,0,2284,"StudyProc3","JOL","Cash - ?",78,"card"
"RL_JOL A",9,1,3,"BlockProc1","Hide - Sick","U",79,0,2141,"StudyProc3","JOL","Hide - ?",79,"find"
"RL_JOL A",9,1,3,"BlockProc1","King - Vase","U",80,0,4852,"StudyProc3","JOL","King - ?",80,"queen"
"READ_JOL A",13,1,3,"BlockProc1","Hornet - Sting","F",6,NA,NA,"StudyProc7","JOL","Hornet - ?",6,"sting"
"READ_JOL A",13,1,3,"BlockProc1","Bitter - Cold","F",7,NA,NA,"StudyProc7","JOL","Bitter - ?",7,"cold"
"READ_JOL A",13,1,3,"BlockProc1","Root - Plant","F",8,NA,NA,"StudyProc7","JOL","Root - ?",8,"plant"
"READ_JOL A",13,1,3,"BlockProc1","Swan - Bird","F",9,NA,NA,"StudyProc7","JOL","Swan - ?",9,"bird"
"READ_JOL A",13,1,3,"BlockProc1","Paw - Dog","F",10,NA,NA,"StudyProc7","JOL","Paw - ?",10,"dog"
"READ_JOL A",13,1,3,"BlockProc1","Way - Out","F",11,NA,NA,"StudyProc7","JOL","Way - ?",11,"out"
"READ_JOL A",13,1,3,"BlockProc1","Hygiene - Clean","F",12,NA,NA,"StudyProc7","JOL","Hygiene - ?",12,"clean"
"READ_JOL A",13,1,3,"BlockProc1","Bridge - Water","F",13,NA,NA,"StudyProc7","JOL","Bridge - ?",13,"water"
"READ_JOL A",13,1,3,"BlockProc1","Geology - Rock","F",14,NA,NA,"StudyProc7","JOL","Geology - ?",14,"rock"
"READ_JOL A",13,1,3,"BlockProc1","Revolution - War","F",15,NA,NA,"StudyProc7","JOL","Revolution - ?",15,"war"
"READ_JOL A",13,1,3,"BlockProc1","Discussion - Talk","F",16,NA,NA,"StudyProc7","JOL","Discussion - ?",16,"talk"
"READ_JOL A",13,1,3,"BlockProc1","Herd - Cow","F",17,NA,NA,"StudyProc7","JOL","Herd - ?",17,"cow"
"READ_JOL A",13,1,3,"BlockProc1","Credit - Card","F",18,NA,NA,"StudyProc7","JOL","Credit - ?",18,"card"
"READ_JOL A",13,1,3,"BlockProc1","Orchid - Flower","F",19,NA,NA,"StudyProc7","JOL","Orchid - ?",19,"flower"
"READ_JOL A",13,1,3,"BlockProc1","Tuna - Fish","F",20,NA,NA,"StudyProc7","JOL","Tuna - ?",20,"fish"
"READ_JOL A",13,1,3,"BlockProc1","Full - Enough","B",21,NA,NA,"StudyProc7","JOL","Full - ?",21,"enough"
"READ_JOL A",13,1,3,"BlockProc1","Drink - Sip","B",22,NA,NA,"StudyProc7","JOL","Drink - ?",22,"pop"
"READ_JOL A",13,1,3,"BlockProc1","Dark - Cave","B",23,NA,NA,"StudyProc7","JOL","Dark - ?",23,"cave"
"READ_JOL A",13,1,3,"BlockProc1","Take - Seize","B",24,NA,NA,"StudyProc7","JOL","Take - ?",24,"out"
"READ_JOL A",13,1,3,"BlockProc1","Height - Growth","B",25,NA,NA,"StudyProc7","JOL","Height - ?",25,"growth"
"READ_JOL A",13,1,3,"BlockProc1","Sentence - Word","B",26,NA,NA,"StudyProc7","JOL","Sentence - ?",26,"trial"
"READ_JOL A",13,1,3,"BlockProc1","Bug - Wasp","B",27,NA,NA,"StudyProc7","JOL","Bug - ?",27,"wasp"
"READ_JOL A",13,1,3,"BlockProc1","Math - Division","B",28,NA,NA,"StudyProc7","JOL","Math - ?",28,"deparent"
"READ_JOL A",13,1,3,"BlockProc1","Law - Attorney","B",29,NA,NA,"StudyProc7","JOL","Law - ?",29,"attorney"
"READ_JOL A",13,1,3,"BlockProc1","Great - Fantastic","B",30,NA,NA,"StudyProc7","JOL","Great - ?",30,"good"
"READ_JOL A",13,1,3,"BlockProc1","Key - Latch","B",31,NA,NA,"StudyProc7","JOL","Key - ?",31,"holder"
"READ_JOL A",13,1,3,"BlockProc1","Hot - Chili","B",32,NA,NA,"StudyProc7","JOL","Hot - ?",32,"summer"
"READ_JOL A",13,1,3,"BlockProc1","Ball - Racket","B",33,NA,NA,"StudyProc7","JOL","Ball - ?",33,"racket"
"READ_JOL A",13,1,3,"BlockProc1","Work - Chore","B",34,NA,NA,"StudyProc7","JOL","Work - ?",34,"chore"
"READ_JOL A",13,1,3,"BlockProc1","Hunger - Famine","B",35,NA,NA,"StudyProc7","JOL","Hunger - ?",35,"park"
"READ_JOL A",13,1,3,"BlockProc1","Sleep - Drowsy","B",36,NA,NA,"StudyProc7","JOL","Sleep - ?",36,"tired"
"READ_JOL A",13,1,3,"BlockProc1","Smell - Stench","B",37,NA,NA,"StudyProc7","JOL","Smell - ?",37,"stench"
"READ_JOL A",13,1,3,"BlockProc1","Clothes - Attire","B",38,NA,NA,"StudyProc7","JOL","Clothes - ?",38,"shirt"
"READ_JOL A",13,1,3,"BlockProc1","Plane - Pilot","B",39,NA,NA,"StudyProc7","JOL","Plane - ?",39,"pilot"
"READ_JOL A",13,1,3,"BlockProc1","Fire - Blaze","B",40,NA,NA,"StudyProc7","JOL","Fire - ?",40,"blaze"
"READ_JOL A",13,1,3,"BlockProc1","Due - Assignment","S",41,100,2997,"StudyProc3","JOL","Due - ?",41,"assignment"
"READ_JOL A",13,1,3,"BlockProc1","Number - Amount","S",42,100,3223,"StudyProc3","JOL","Number - ?",42,"amount"
"READ_JOL A",13,1,3,"BlockProc1","Location - Site","S",43,100,3463,"StudyProc3","JOL","Location - ?",43,"place"
"READ_JOL A",13,1,3,"BlockProc1","Dump - Waste","S",44,100,3364,"StudyProc3","JOL","Dump - ?",44,"truck"
"READ_JOL A",13,1,3,"BlockProc1","Trial - Jury","S",45,100,2879,"StudyProc3","JOL","Trial - ?",45,"end"
"READ_JOL A",13,1,3,"BlockProc1","Architecture - Design","S",46,98,5790,"StudyProc3","JOL","Architecture - ?",46,"design"
"READ_JOL A",13,1,3,"BlockProc1","Grill - Bar","S",47,100,3690,"StudyProc3","JOL","Grill - ?",47,"bar"
"READ_JOL A",13,1,3,"BlockProc1","Kidney - Liver","S",48,90,5511,"StudyProc3","JOL","Kidney - ?",48,"liver"
"READ_JOL A",13,1,3,"BlockProc1","Begin - End","S",49,78,8497,"StudyProc3","JOL","Begin - ?",49,"end"
"READ_JOL A",13,1,3,"BlockProc1","Blow - Wind","S",50,100,6320,"StudyProc3","JOL","Blow - ?",50,"wind"
"READ_JOL A",13,1,3,"BlockProc1","Pop - Soda","S",51,100,2694,"StudyProc3","JOL","Pop - ?",51,"soda"
"READ_JOL A",13,1,3,"BlockProc1","Wine - Cheese","S",52,100,2615,"StudyProc3","JOL","Wine - ?",52,"cheese"
"READ_JOL A",13,1,3,"BlockProc1","Bathroom - Toilet","S",53,100,2545,"StudyProc3","JOL","Bathroom - ?",53,"toilet"
"READ_JOL A",13,1,3,"BlockProc1","Lettuce - Salad","S",54,100,2455,"StudyProc3","JOL","Lettuce - ?",54,"salad"
"READ_JOL A",13,1,3,"BlockProc1","Shoe - Foot","S",55,90,4236,"StudyProc3","JOL","Shoe - ?",55,"foot"
"READ_JOL A",13,1,3,"BlockProc1","Past - Future","S",56,100,2506,"StudyProc3","JOL","Past - ?",56,"end"
"READ_JOL A",13,1,3,"BlockProc1","Choice - Decision","S",57,100,2918,"StudyProc3","JOL","Choice - ?",57,"decide"
"READ_JOL A",13,1,3,"BlockProc1","Honey - Bee","S",58,100,2857,"StudyProc3","JOL","Honey - ?",58,"bee"
"READ_JOL A",13,1,3,"BlockProc1","Baby - Child","S",59,100,3071,"StudyProc3","JOL","Baby - ?",59,"child"
"READ_JOL A",13,1,3,"BlockProc1","Circle - Round","S",60,100,6473,"StudyProc3","JOL","Circle - ?",60,"round"
"READ_JOL A",13,1,3,"BlockProc1","Pusher - Clutter","U",61,0,7110,"StudyProc3","JOL","Pusher - ?",61,"clutter"
"READ_JOL A",13,1,3,"BlockProc1","Dietary - Slacking","U",62,15,12339,"StudyProc3","JOL","Dietary - ?",62,"sugar"
"READ_JOL A",13,1,3,"BlockProc1","Park - Hungry","U",63,0,4352,"StudyProc3","JOL","Park - ?",63,"hungry"
"READ_JOL A",13,1,3,"BlockProc1","Lift - Woman","U",64,0,4044,"StudyProc3","JOL","Lift - ?",64,"weight"
