"ExperimentName","Subject","Direction","JOL","RT","recall_cue","Recall_Response","sorted_JOL_CUE","sorted_JOL_TARGET","percent_match","scored"
"READ_JOL A",13,"S",100,6473,"Circle","round","Circle","round",100,1
"READ_JOL A",13,"U",0,7110,"Pusher","clutter","Pusher","clutter",100,1
"READ_JOL A",13,"U",15,12339,"Dietary","sugar","Dietary","slacking",0,0
"READ_JOL A",13,"U",0,4352,"Park","hungry","Park","hungry",100,1
"READ_JOL A",13,"U",0,4044,"Lift","weight","Lift","woman",0,0
"READ_JOL A",13,"U",0,5722,"Soon","later","Soon","belt",0,0
"READ_JOL A",13,"U",20,5768,"Discover","find","Discover","floor",0,0
"READ_JOL A",13,"U",0,3936,"Death","hear","Death","business",0,0
"READ_JOL A",13,"U",30,9435,"Debate","talk","Debate","sight",0,0
"READ_JOL A",13,"U",10,5987,"Artery","liver","Artery","bronze",0,0
"READ_JOL A",13,"U",75,9912,"Fix","hand","Fix","hand",100,1
"READ_JOL A",13,"U",30,16560,"Machine","lift","Machine","position",0,0
"READ_JOL A",13,"U",15,11650,"Happy","end","Happy","car",0,0
"READ_JOL A",13,"U",0,4621,"Allow","let","Allow","tuck",0,0
"READ_JOL A",13,"U",40,7240,"Art","lion","Art","lion",100,1
"READ_JOL A",13,"U",0,7488,"Strong","lift","Strong","accident",0,0
"READ_JOL A",13,"U",10,4490,"Sugar","sweet","Sugar","riddle",0,0
"READ_JOL A",13,"U",10,6197,"Valley","hide","Valley","add",0,0
"READ_JOL A",13,"U",10,12233,"Cash","amount","Cash","would",0,0
"READ_JOL A",13,"U",15,10162,"Hide","out","Hide","sick",0,0
"READ_JOL A",13,"U",0,8234,"King","vase","King","vase",100,1
"READ_JOL A",25,"F",88,15835,"Delinquent","bad","Delinquent","bad",100,1
"READ_JOL A",25,"F",77,2565,"Digestion","stomach","Digestion","stomach",100,1
"READ_JOL A",25,"F",99,3102,"Wage","money","Wage","money",100,1
"READ_JOL A",25,"F",56,3675,"Chisel","art","Chisel","hammer",0,0
"READ_JOL A",25,"F",33,4452,"Editor","artisit","Editor","news",0,0
"READ_JOL A",25,"F",66,4166,"Hornet","sting","Hornet","sting",100,1
"READ_JOL A",25,"F",88,2835,"Bitter","sweet","Bitter","cold",0,0
"READ_JOL A",25,"F",77,2361,"Root","tree","Root","plant",0,0
"READ_JOL A",25,"F",55,3723,"Swan","duck","Swan","bird",0,0
"READ_JOL A",25,"F",99,3085,"Paw","dog","Paw","dog",100,1
"READ_JOL A",25,"F",99,9041,"Way","maker","Way","out",0,0
"READ_JOL A",25,"F",100,5301,"Hygiene","clean","Hygiene","clean",100,1
"READ_JOL A",25,"F",100,11812,"Bridge","water","Bridge","water",100,1
"READ_JOL A",25,"F",66,2536,"Geology","rock","Geology","rock",100,1
"READ_JOL A",25,"F",99,2454,"Revolution","evolve","Revolution","war",0,0
"READ_JOL A",25,"F",66,4339,"Discussion","board","Discussion","talk",0,0
"READ_JOL A",25,"F",88,4665,"Herd","lion","Herd","cow",0,0
"READ_JOL A",25,"F",NA,64,"Credit","debit","Credit","card",0,0
"READ_JOL A",25,"F",55,5767,"Orchid","flower","Orchid","flower",100,1
"READ_JOL A",25,"F",99,4198,"Tuna","fish","Tuna","fish",100,1
"READ_JOL A",25,"B",99,4159,"Full","empty","Full","enough",0,0
"READ_JOL A",25,"B",99,3017,"Drink","water","Drink","sip",0,0
"READ_JOL A",25,"B",88,5714,"Dark","light","Dark","cave",0,0
"READ_JOL A",25,"B",44,3872,"Take","choose","Take","seize",0,0
"READ_JOL A",25,"B",66,3962,"Height","tall","Height","growth",0,0
"READ_JOL A",25,"B",99,5129,"Sentence","complet","Sentence","word",0,0
"READ_JOL A",25,"B",55,1847,"Bug","wasp","Bug","wasp",100,1
"READ_JOL A",25,"B",77,6126,"Math","english","Math","division",0,0
"READ_JOL A",25,"B",88,4274,"Law","rights","Law","attorney",0,0
"READ_JOL A",25,"B",88,3326,"Great","boring","Great","fantastic",0,0
"READ_JOL A",25,"B",66,4929,"Key","word","Key","latch",0,0
"READ_JOL A",25,"B",99,2294,"Hot","chill","Hot","chili",0,0
"READ_JOL A",25,"B",99,7304,"Ball","soccer","Ball","racket",0,0
"READ_JOL A",25,"B",77,3215,"Work","harder","Work","chore",0,0
"READ_JOL A",25,"B",88,8060,"Hunger","eat","Hunger","famine",0,0
"READ_JOL A",25,"B",99,4871,"Sleep","wake","Sleep","drowsy",0,0
"READ_JOL A",25,"B",88,3256,"Smell","stink","Smell","stench",0,0
"READ_JOL A",25,"B",88,5826,"Clothes","pant","Clothes","attire",0,0
"READ_JOL A",25,"B",99,4078,"Plane","crash","Plane","pilot",0,0
"READ_JOL A",25,"B",88,1618,"Fire","wall","Fire","blaze",0,0
"READ_JOL A",25,"S",99,2466,"Due","assignmentt","Due","assignment",0,0
"READ_JOL A",25,"S",99,3064,"Number","letter","Number","amount",0,0
"READ_JOL A",25,"S",88,3706,"Location","place","Location","site",0,0
"READ_JOL A",25,"S",88,3040,"Dump","waste","Dump","waste",100,1
"READ_JOL A",25,"S",78,3709,"Trial","law","Trial","jury",0,0
"READ_JOL A",25,"S",50,4661,"Architecture","business","Architecture","design",0,0
"READ_JOL A",25,"S",74,3890,"Grill","cook","Grill","bar",0,0
"READ_JOL A",25,"S",88,5215,"Kidney","liver","Kidney","liver",100,1
"READ_JOL A",25,"S",89,3237,"Begin","end","Begin","end",100,1
"READ_JOL A",25,"S",99,3104,"Blow","whistle","Blow","wind",0,0
"READ_JOL A",25,"S",99,2826,"Pop","soda","Pop","soda",100,1
"READ_JOL A",25,"S",67,2937,"Wine","drink","Wine","cheese",0,0
"READ_JOL A",25,"S",99,2928,"Bathroom","toilet","Bathroom","toilet",100,1
"READ_JOL A",25,"S",99,2723,"Lettuce","fruit","Lettuce","salad",0,0
"READ_JOL A",25,"S",99,3318,"Shoe","fit","Shoe","foot",0,0
"READ_JOL A",25,"S",89,3720,"Past","future","Past","future",100,1
"READ_JOL A",25,"S",97,6930,"Choice","allow","Choice","decision",0,0
"READ_JOL A",25,"S",99,3133,"Honey","bee","Honey","bee",100,1
"READ_JOL A",25,"S",99,6255,"Baby","cry","Baby","child",0,0
"READ_JOL A",25,"S",99,2408,"Circle","round","Circle","round",100,1
"READ_JOL A",25,"U",66,8152,"Pusher","runner","Pusher","clutter",0,0
"READ_JOL A",25,"U",8,4371,"Dietary","slacking","Dietary","slacking",100,1
"READ_JOL A",25,"U",99,6469,"Park","zoo","Park","hungry",0,0
"READ_JOL A",25,"U",67,3895,"Lift","throw","Lift","woman",0,0
"READ_JOL A",25,"U",77,6429,"Soon","later","Soon","belt",0,0
"READ_JOL A",25,"U",67,4973,"Discover","wish","Discover","floor",0,0
"READ_JOL A",25,"U",89,4211,"Death","business","Death","business",100,1
"READ_JOL A",25,"U",88,1745,"Debate","argue","Debate","sight",0,0
"READ_JOL A",25,"U",2,9597,"Artery","geology","Artery","bronze",0,0
"READ_JOL A",25,"U",33,8689,"Fix","machine","Fix","hand",0,0
"READ_JOL A",25,"U",67,6652,"Machine","board","Machine","position",0,0
"READ_JOL A",25,"U",77,3256,"Happy","said","Happy","car",0,0
"READ_JOL A",25,"U",67,5972,"Allow","choose","Allow","tuck",0,0
"READ_JOL A",25,"U",68,3688,"Art","model","Art","lion",0,0
"READ_JOL A",25,"U",99,4307,"Strong","weak","Strong","accident",0,0
"READ_JOL A",25,"U",6,6800,"Sugar","water","Sugar","riddle",0,0
"READ_JOL A",25,"U",56,3954,"Valley","way","Valley","add",0,0
"READ_JOL A",25,"U",77,4647,"Cash","money","Cash","would",0,0
"READ_JOL A",25,"U",55,6599,"Hide","sick","Hide","sick",100,1
"READ_JOL A",25,"U",87,3198,"King","lion","King","vase",0,0
"READ_JOL A",37,"F",95,7379,"Delinquent","bad","Delinquent","bad",100,1
"READ_JOL A",37,"F",100,3962,"Digestion","stomach","Digestion","stomach",100,1
"READ_JOL A",37,"F",85,6510,"Wage","money","Wage","money",100,1
"READ_JOL A",37,"F",82,6385,"Chisel","hand","Chisel","hammer",0,0
"READ_JOL A",37,"F",75,9986,"Editor","news","Editor","news",100,1
"READ_JOL A",37,"F",100,3672,"Hornet","sting","Hornet","sting",100,1
"READ_JOL A",37,"F",75,5587,"Bitter","cold","Bitter","cold",100,1
"READ_JOL A",37,"F",100,7966,"Root","beer","Root","plant",0,0
"READ_JOL A",37,"F",100,3124,"Swan","bird","Swan","bird",100,1
"READ_JOL A",37,"F",100,2981,"Paw","dog","Paw","dog",100,1
"READ_JOL A",37,"F",100,4762,"Way","out","Way","out",100,1
"READ_JOL A",37,"F",100,4220,"Hygiene","clean","Hygiene","clean",100,1
"READ_JOL A",37,"F",95,7391,"Bridge","water","Bridge","water",100,1
"READ_JOL A",37,"F",100,5491,"Geology","rock","Geology","rock",100,1
"READ_JOL A",37,"F",100,3151,"Revolution","war","Revolution","war",100,1
"READ_JOL A",37,"F",100,2734,"Discussion","class","Discussion","talk",0,0
"READ_JOL A",37,"F",90,3399,"Herd","cow","Herd","cow",100,1
"READ_JOL A",37,"F",100,4328,"Credit","card","Credit","card",100,1
"READ_JOL A",37,"F",90,4201,"Orchid","flower","Orchid","flower",100,1
"READ_JOL A",37,"F",0,4931,"Tuna","fish","Tuna","fish",100,1
"READ_JOL A",37,"B",50,5262,"Full","enough","Full","enough",100,1
"READ_JOL A",37,"B",95,4254,"Drink","thirst","Drink","sip",0,0
"READ_JOL A",37,"B",100,2621,"Dark","cave","Dark","cave",100,1
"READ_JOL A",37,"B",80,5001,"Take","grab","Take","seize",0,0
"READ_JOL A",37,"B",100,4379,"Height","growth","Height","growth",100,1
"READ_JOL A",37,"B",95,6245,"Sentence","word","Sentence","word",100,1
"READ_JOL A",37,"B",80,4761,"Bug","wasp","Bug","wasp",100,1
"READ_JOL A",37,"B",100,2512,"Math","division","Math","division",100,1
"READ_JOL A",37,"B",100,4820,"Law","attorney","Law","attorney",100,1
"READ_JOL A",37,"B",100,2816,"Great","fantastic","Great","fantastic",100,1
"READ_JOL A",37,"B",95,6965,"Key","latch","Key","latch",100,1
"READ_JOL A",37,"B",100,3631,"Hot","dog","Hot","chili",0,0
"READ_JOL A",37,"B",100,3276,"Ball","basket","Ball","racket",0,0
"READ_JOL A",37,"B",95,5327,"Work","hard","Work","chore",0,0
"READ_JOL A",37,"B",95,5324,"Hunger","famine","Hunger","famine",100,1
"READ_JOL A",37,"B",95,5037,"Sleep","drowsy","Sleep","drowsy",100,1
"READ_JOL A",37,"B",100,2848,"Smell","scent","Smell","stench",0,0
"READ_JOL A",37,"B",95,3261,"Clothes","attire","Clothes","attire",100,1
"READ_JOL A",37,"B",100,3757,"Plane","fly","Plane","pilot",0,0
"READ_JOL A",37,"B",8,9375,"Fire","blaze","Fire","blaze",100,1
"READ_JOL A",37,"S",100,3086,"Due","assignment","Due","assignment",100,1
"READ_JOL A",37,"S",100,4320,"Number","order","Number","amount",0,0
"READ_JOL A",37,"S",90,3850,"Location","site","Location","site",100,1
"READ_JOL A",37,"S",100,2438,"Dump","waste","Dump","waste",100,1
"READ_JOL A",37,"S",100,3867,"Trial","attorney","Trial","jury",0,0
"READ_JOL A",37,"S",100,3636,"Architecture","design","Architecture","design",100,1
"READ_JOL A",37,"S",100,2757,"Grill","bar","Grill","bar",100,1
"READ_JOL A",37,"S",80,4351,"Kidney","liver","Kidney","liver",100,1
"READ_JOL A",37,"S",100,2726,"Begin","end","Begin","end",100,1
"READ_JOL A",37,"S",95,6222,"Blow","wind","Blow","wind",100,1
"READ_JOL A",37,"S",100,3209,"Pop","soda","Pop","soda",100,1
"READ_JOL A",37,"S",100,2792,"Wine","cheese","Wine","cheese",100,1
"READ_JOL A",37,"S",90,5147,"Bathroom","toilet","Bathroom","toilet",100,1
"READ_JOL A",37,"S",100,5173,"Lettuce","salas","Lettuce","salad",0,0
"READ_JOL A",37,"S",100,4311,"Shoe","foot","Shoe","foot",100,1
"READ_JOL A",37,"S",100,2321,"Past","future","Past","future",100,1
"READ_JOL A",37,"S",100,5256,"Choice","option","Choice","decision",0,0
"READ_JOL A",37,"S",100,3054,"Honey","bee","Honey","bee",100,1
"READ_JOL A",37,"S",100,2247,"Baby","cute","Baby","child",0,0
"READ_JOL A",37,"S",100,3564,"Circle","round","Circle","round",100,1
"READ_JOL A",37,"U",1,3762,"Pusher","take","Pusher","clutter",0,0
"READ_JOL A",37,"U",20,4242,"Dietary","supplement","Dietary","slacking",0,0
"READ_JOL A",37,"U",50,3204,"Park","child","Park","hungry",0,0
"READ_JOL A",37,"U",10,6129,"Lift","woman","Lift","woman",100,1
"READ_JOL A",37,"U",1,3661,"Soon","later","Soon","belt",0,0
"READ_JOL A",37,"U",20,4653,"Discover","hand","Discover","floor",0,0
"READ_JOL A",37,"U",2,3882,"Death","law","Death","business",0,0
"READ_JOL A",37,"U",20,4606,"Debate","speech","Debate","sight",0,0
"READ_JOL A",37,"U",1,5310,"Artery","vein","Artery","bronze",0,0
"READ_JOL A",37,"U",35,5160,"Fix","hand","Fix","hand",100,1
"READ_JOL A",37,"U",10,5055,"Machine","work","Machine","position",0,0
"READ_JOL A",37,"U",1,4783,"Happy","excited","Happy","car",0,0
"READ_JOL A",37,"U",5,6640,"Allow","permit","Allow","tuck",0,0
"READ_JOL A",37,"U",10,6972,"Art","show","Art","lion",0,0
"READ_JOL A",37,"U",20,4146,"Strong","weak","Strong","accident",0,0
"READ_JOL A",37,"U",1,2622,"Sugar","sweet","Sugar","riddle",0,0
"READ_JOL A",37,"U",1,7836,"Valley","river","Valley","add",0,0
"READ_JOL A",37,"U",50,8403,"Cash","check","Cash","would",0,0
"READ_JOL A",37,"U",80,7671,"Hide","sick","Hide","sick",100,1
"READ_JOL A",37,"U",10,3938,"King","vase","King","vase",100,1
"READ_JOL A",13,"F",100,5916,"Extension","long","Extension","long",100,1
"READ_JOL A",13,"F",70,2222,"Clue","game","Clue","game",100,1
"READ_JOL A",13,"F",70,8010,"Cactus","plant","Cactus","plant",100,1
"READ_JOL A",13,"F",90,4353,"Shoelace","tie","Shoelace","tie",100,1
"READ_JOL A",13,"F",96,7923,"Detective","mystery","Detective","mystery",100,1
"READ_JOL A",13,"F",90,4212,"Adjourn","end","Adjourn","end",100,1
"READ_JOL A",13,"F",50,7715,"Furry","dog","Furry","dog",100,1
"READ_JOL A",13,"F",93,3072,"Litter","waste","Litter","trash",0,0
"READ_JOL A",13,"F",100,2321,"Cherry","red","Cherry","red",100,1
"READ_JOL A",13,"F",80,2479,"Scalp","hair","Scalp","head",0,0
"READ_JOL A",13,"F",98,2993,"Driver","car","Driver","car",100,1
"READ_JOL A",13,"F",85,7414,"Chop","cut","Chop","cut",100,1
"READ_JOL A",13,"F",100,2577,"Mule","donkey","Mule","donkey",100,1
"READ_JOL A",13,"F",88,3625,"Document","paper","Document","paper",100,1
"READ_JOL A",13,"F",70,6257,"Incense","scent","Incense","smell",0,0
"READ_JOL A",13,"F",96,8788,"Dine","eat","Dine","eat",100,1
"READ_JOL A",13,"F",100,8804,"Shears","scisors","Shears","scissors",0,0
"READ_JOL A",13,"F",75,4787,"Feud","fight","Feud","fight",100,1
"READ_JOL A",13,"F",80,5661,"Chill","cold","Chill","cold",100,1
"READ_JOL A",13,"F",100,2614,"Affection","love","Affection","love",100,1
"READ_JOL A",13,"B",90,4435,"Turn","flip","Turn","flip",100,1
"READ_JOL A",13,"B",80,5046,"Car","windsheild","Car","windshield",0,0
"READ_JOL A",13,"B",100,2865,"Bad","deliquent","Bad","villain",0,0
"READ_JOL A",13,"B",80,6008,"Bird","penguin","Bird","penguin",100,1
"READ_JOL A",13,"B",70,4462,"Star","actress","Star","actress",100,1
"READ_JOL A",13,"B",30,7242,"Thread","message","Thread","thimble",0,0
"READ_JOL A",13,"B",40,5528,"Even","equal","Even","revenge",0,0
"READ_JOL A",13,"B",65,8351,"Pop","balloon","Pop","soda",0,0
"READ_JOL A",13,"B",96,2797,"Fruit","strawberry","Fruit","strawberry",100,1
"READ_JOL A",13,"B",98,5654,"Best","favorite","Best","favorite",100,1
"READ_JOL A",13,"B",80,3624,"Cat","mouse","Cat","panther",0,0
"READ_JOL A",13,"B",70,9366,"Glass","breakable","Glass","breakable",100,1
"READ_JOL A",13,"B",70,4796,"Dead","coffin","Dead","coffin",100,1
"READ_JOL A",13,"B",80,6025,"Plane","flight","Plane","pilot",0,0
"READ_JOL A",13,"B",100,4398,"Fish","sardine","Fish","sardine",100,1
"READ_JOL A",13,"B",75,7167,"Baseball","league","Baseball","league",100,1
"READ_JOL A",13,"B",97,2667,"Money","wage","Money","banker",0,0
"READ_JOL A",13,"B",90,2766,"Honest","trust","Honest","truthful",0,0
"READ_JOL A",13,"B",100,2861,"Sleep","nap","Sleep","drowsy",0,0
"READ_JOL A",13,"B",70,3247,"Fight","fued","Fight","brawl",0,0
"READ_JOL A",13,"S",100,2814,"Razor","shave","Razor","shave",100,1
"READ_JOL A",13,"S",100,3979,"Rights","equal","Rights","equal",100,1
"READ_JOL A",13,"S",100,2712,"Mason","jar","Mason","jar",100,1
"READ_JOL A",13,"S",100,1770,"Candle","wax","Candle","wax",100,1
"READ_JOL A",13,"S",80,3509,"Wrist","band","Wrist","bracelet",0,0
"READ_JOL A",13,"S",55,5219,"Element","carbon","Element","carbon",100,1
"READ_JOL A",13,"S",96,2666,"Gone","away","Gone","away",100,1
"READ_JOL A",13,"S",98,4404,"Water","bridge","Water","drink",0,0
"READ_JOL A",13,"S",80,5332,"Earth","groun","Earth","ground",120,1
"READ_JOL A",13,"S",93,5084,"Alone","lonely","Alone","lonely",100,1
"READ_JOL A",13,"S",100,1842,"Dry","clean","Dry","wet",0,0
"READ_JOL A",13,"S",100,3426,"Safety","seatbelt","Safety","seatbelt",100,1
"READ_JOL A",13,"S",100,2135,"Truth","lie","Truth","lie",100,1
"READ_JOL A",13,"S",97,4239,"Phone","contact","Phone","communicatio",0,0
"READ_JOL A",13,"S",90,3919,"Rod","reel","Rod","reel",100,1
"READ_JOL A",13,"S",90,3011,"Flea","tick","Flea","tick",100,1
"READ_JOL A",13,"S",100,1913,"Loud","noise","Loud","noise",100,1
"READ_JOL A",13,"S",96,4524,"Own","belong","Own","have",0,0
"READ_JOL A",13,"S",95,3875,"Tantrum","temper","Tantrum","temper",100,1
"READ_JOL A",13,"S",100,1941,"Sun","hot","Sun","tan",0,0
"READ_JOL A",13,"U",20,5069,"Justice","maroon","Justice","maroon",100,1
"READ_JOL A",13,"U",40,8204,"Stretch","lean","Stretch","cloth",0,0
"READ_JOL A",13,"U",0,3328,"Give","take","Give","steak",0,0
"READ_JOL A",13,"U",30,6708,"Maze","elctric","Maze","election",0,0
"READ_JOL A",13,"U",40,6007,"Vehicle","car","Vehicle","charm",0,0
"READ_JOL A",13,"U",23,7175,"Meat","loaf","Meat","obtain",0,0
"READ_JOL A",13,"U",8,9272,"Crackle","pop","Crackle","able",0,0
"READ_JOL A",13,"U",60,5239,"Shell","shake","Shell","shake",100,1
"READ_JOL A",13,"U",0,5063,"Listen","hear","Listen","fiction",0,0
"READ_JOL A",13,"U",2,3645,"Keys","chain","Keys","joke",0,0
"READ_JOL A",13,"U",40,4881,"Cake","chocolate","Cake","clothes",0,0
"READ_JOL A",13,"U",NA,2374,"Name","paper","Name","hate",0,0
"READ_JOL A",13,"U",10,5464,"Fuzzy","dog","Fuzzy","bang",0,0
"READ_JOL A",13,"U",10,13758,"Moat","yard","Moat","clear",0,0
"READ_JOL A",13,"U",20,5399,"Lease","toil","Lease","toil",100,1
"READ_JOL A",13,"U",90,4872,"Loan","sign","Loan","sign",100,1
"READ_JOL A",13,"U",80,10206,"Both","ounce","Both","ounce",100,1
"READ_JOL A",13,"U",30,5268,"Temperature","morning","Temperature","morning",100,1
"READ_JOL A",13,"U",10,9224,"Mirror","child","Mirror","children",160,1
"READ_JOL A",13,"U",20,10775,"Main","first","Main","scar",0,0
"READ_JOL A",25,"F",33,3427,"Extension","test","Extension","long",0,0
"READ_JOL A",25,"F",2,2773,"Clue","hint","Clue","game",0,0
"READ_JOL A",25,"F",67,2588,"Cactus","plant","Cactus","plant",100,1
"READ_JOL A",25,"F",7,5564,"Shoelace","shoe","Shoelace","tie",0,0
"READ_JOL A",25,"F",12,2578,"Detective","police","Detective","mystery",0,0
"READ_JOL A",25,"F",1,2588,"Adjourn","dog","Adjourn","end",0,0
"READ_JOL A",25,"F",7,5899,"Furry","dog","Furry","dog",100,1
"READ_JOL A",25,"F",77,3004,"Litter","cat","Litter","trash",0,0
"READ_JOL A",25,"F",99,3059,"Cherry","red","Cherry","red",100,1
"READ_JOL A",25,"F",88,5381,"Scalp","head","Scalp","head",100,1
"READ_JOL A",25,"F",98,2693,"Driver","car","Driver","car",100,1
"READ_JOL A",25,"F",3,5485,"Chop","break","Chop","cut",0,0
"READ_JOL A",25,"F",55,2891,"Mule","camel","Mule","donkey",0,0
"READ_JOL A",25,"F",76,2458,"Document","exam","Document","paper",0,0
"READ_JOL A",25,"F",22,3558,"Incense","fight","Incense","smell",0,0
"READ_JOL A",25,"F",77,1912,"Dine","eat","Dine","eat",100,1
"READ_JOL A",25,"F",33,1831,"Shears","shave","Shears","scissors",0,0
"READ_JOL A",25,"F",33,10133,"Feud","fight","Feud","fight",100,1
"READ_JOL A",25,"F",8,2248,"Chill","ice","Chill","cold",0,0
"READ_JOL A",25,"F",77,2385,"Affection","love","Affection","love",100,1
"READ_JOL A",25,"B",99,3599,"Turn","left","Turn","flip",0,0
"READ_JOL A",25,"B",88,4535,"Car","driver","Car","windshield",0,0
"READ_JOL A",25,"B",44,3079,"Bad","good","Bad","villain",0,0
"READ_JOL A",25,"B",77,4692,"Bird","penguin","Bird","penguin",100,1
"READ_JOL A",25,"B",9,4876,"Star","actress","Star","actress",100,1
"READ_JOL A",25,"B",2,3089,"Thread","needle","Thread","thimble",0,0
"READ_JOL A",25,"B",3,2764,"Even","odd","Even","revenge",0,0
"READ_JOL A",25,"B",99,2675,"Pop","soda","Pop","soda",100,1
"READ_JOL A",25,"B",99,2491,"Fruit","strawberry","Fruit","strawberry",100,1
"READ_JOL A",25,"B",88,11679,"Best","favorite","Best","favorite",100,1
"READ_JOL A",25,"B",99,2751,"Cat","dog","Cat","panther",0,0
"READ_JOL A",25,"B",88,3508,"Glass","break","Glass","breakable",180,1
"READ_JOL A",25,"B",77,2116,"Dead","coffin","Dead","coffin",100,1
"READ_JOL A",25,"B",23,2534,"Plane","aircraft","Plane","pilot",0,0
"READ_JOL A",25,"B",33,5430,"Fish","water","Fish","sardine",0,0
"READ_JOL A",25,"B",88,2218,"Baseball","league","Baseball","league",100,1
"READ_JOL A",25,"B",66,2264,"Money","bag","Money","banker",0,0
"READ_JOL A",25,"B",99,2893,"Honest","dicet","Honest","truthful",0,0
"READ_JOL A",25,"B",55,5905,"Sleep","wake","Sleep","drowsy",0,0
"READ_JOL A",25,"B",99,3241,"Fight","tible","Fight","brawl",0,0
"READ_JOL A",25,"S",66,2640,"Razor","shave","Razor","shave",100,1
"READ_JOL A",25,"S",55,3958,"Rights","justice","Rights","equal",0,0
