"Username","Condition.Description","Direction","Block","Version","Task","Score","Warning"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",0,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",0,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",100,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",100,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",0,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",0,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",100,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",0,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",100,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",100,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",0,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",100,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",0,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",100,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","S","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",0,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",0,"yes"
"w981975_sha","READ","S","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",0,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",100,"yes"
"w10064595","READ","B","1","sona","Recall",100,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",0,"yes"
"w10070345","READ","S","1","sona","Recall",0,"yes"
"w981975_sha","READ","S","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","U","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","U","1","sona","Recall",0,"yes"
"w10064595","READ","U","1","sona","Recall",0,"yes"
"w10070345","READ","U","1","sona","Recall",100,"yes"
"w981975_sha","READ","U","1","sona","Recall",0,"yes"
"961831MM","READ","F","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",100,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",100,"yes"
"961831MM","READ","F","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","F","1","sona","Recall",100,"yes"
"w10064595","READ","F","1","sona","Recall",0,"yes"
"w10070345","READ","F","1","sona","Recall",100,"yes"
"w981975_sha","READ","F","1","sona","Recall",0,"yes"
"961831MM","READ","S","1","sona","Recall",100,"yes"
"w10025409_jnl","READ","S","1","sona","Recall",100,"yes"
"w10064595","READ","S","1","sona","Recall",100,"yes"
"w10070345","READ","S","1","sona","Recall",100,"yes"
"w981975_sha","READ","S","1","sona","Recall",100,"yes"
"961831MM","READ","B","1","sona","Recall",0,"yes"
"w10025409_jnl","READ","B","1","sona","Recall",0,"yes"
"w10064595","READ","B","1","sona","Recall",0,"yes"
"w10070345","READ","B","1","sona","Recall",100,"yes"
"w981975_sha","READ","B","1","sona","Recall",0,"yes"
"w10060383","READ","U","1","sona","Recall",0,"yes"
"w10092569","READ","U","1","sona","Recall",0,"yes"
"w322833_tr","READ","U","1","sona","Recall",0,"yes"
"w917542_rm","READ","U","1","sona","Recall",0,"yes"
"w924600","READ","U","1","sona","Recall",100,"yes"
"w970403mb","READ","U","1","sona","Recall",0,"yes"
"w982469AN","READ","U","1","sona","Recall",0,"yes"
"w10060383","READ","U","1","sona","Recall",0,"yes"
"w10092569","READ","U","1","sona","Recall",0,"yes"
"w322833_tr","READ","U","1","sona","Recall",0,"yes"
"w917542_rm","READ","U","1","sona","Recall",0,"yes"
"w924600","READ","U","1","sona","Recall",0,"yes"
"w970403mb","READ","U","1","sona","Recall",0,"yes"
"w982469AN","READ","U","1","sona","Recall",0,"yes"
"w10060383","READ","S","1","sona","Recall",0,"yes"
"w10092569","READ","S","1","sona","Recall",100,"yes"
"w322833_tr","READ","S","1","sona","Recall",100,"yes"
"w917542_rm","READ","S","1","sona","Recall",0,"yes"
"w924600","READ","S","1","sona","Recall",0,"yes"
"w970403mb","READ","S","1","sona","Recall",0,"yes"
"w982469AN","READ","S","1","sona","Recall",0,"yes"
"w10060383","READ","S","1","sona","Recall",0,"yes"
"w10092569","READ","S","1","sona","Recall",100,"yes"
"w322833_tr","READ","S","1","sona","Recall",0,"yes"
"w917542_rm","READ","S","1","sona","Recall",0,"yes"
"w924600","READ","S","1","sona","Recall",100,"yes"
"w970403mb","READ","S","1","sona","Recall",0,"yes"
"w982469AN","READ","S","1","sona","Recall",0,"yes"
"w10060383","READ","F","1","sona","Recall",0,"yes"
"w10092569","READ","F","1","sona","Recall",100,"yes"
"w322833_tr","READ","F","1","sona","Recall",100,"yes"
"w917542_rm","READ","F","1","sona","Recall",0,"yes"
"w924600","READ","F","1","sona","Recall",100,"yes"
"w970403mb","READ","F","1","sona","Recall",0,"yes"
"w982469AN","READ","F","1","sona","Recall",0,"yes"
"w10060383","READ","F","1","sona","Recall",100,"yes"
"w10092569","READ","F","1","sona","Recall",100,"yes"
"w322833_tr","READ","F","1","sona","Recall",100,"yes"
"w917542_rm","READ","F","1","sona","Recall",0,"yes"
"w924600","READ","F","1","sona","Recall",100,"yes"
"w970403mb","READ","F","1","sona","Recall",100,"yes"
"w982469AN","READ","F","1","sona","Recall",100,"yes"
"w10060383","READ","B","1","sona","Recall",0,"yes"
"w10092569","READ","B","1","sona","Recall",100,"yes"
"w322833_tr","READ","B","1","sona","Recall",0,"yes"
"w917542_rm","READ","B","1","sona","Recall",0,"yes"
"w924600","READ","B","1","sona","Recall",0,"yes"
"w970403mb","READ","B","1","sona","Recall",0,"yes"
"w982469AN","READ","B","1","sona","Recall",0,"yes"
"w10060383","READ","S","1","sona","Recall",0,"yes"
"w10092569","READ","S","1","sona","Recall",100,"yes"
"w322833_tr","READ","S","1","sona","Recall",100,"yes"
"w917542_rm","READ","S","1","sona","Recall",0,"yes"
"w924600","READ","S","1","sona","Recall",100,"yes"
"w970403mb","READ","S","1","sona","Recall",0,"yes"
"w982469AN","READ","S","1","sona","Recall",0,"yes"
"w10060383","READ","S","1","sona","Recall",100,"yes"
"w10092569","READ","S","1","sona","Recall",0,"yes"
"w322833_tr","READ","S","1","sona","Recall",100,"yes"
"w917542_rm","READ","S","1","sona","Recall",0,"yes"
"w924600","READ","S","1","sona","Recall",100,"yes"
"w970403mb","READ","S","1","sona","Recall",100,"yes"
"w982469AN","READ","S","1","sona","Recall",100,"yes"
"w10060383","READ","U","1","sona","Recall",0,"yes"
"w10092569","READ","U","1","sona","Recall",0,"yes"
"w322833_tr","READ","U","1","sona","Recall",0,"yes"
"w917542_rm","READ","U","1","sona","Recall",0,"yes"
"w924600","READ","U","1","sona","Recall",0,"yes"
"w970403mb","READ","U","1","sona","Recall",0,"yes"
"w982469AN","READ","U","1","sona","Recall",0,"yes"
"w10060383","READ","B","1","sona","Recall",0,"yes"
"w10092569","READ","B","1","sona","Recall",100,"yes"
"w322833_tr","READ","B","1","sona","Recall",100,"yes"
"w917542_rm","READ","B","1","sona","Recall",0,"yes"
"w924600","READ","B","1","sona","Recall",0,"yes"
"w970403mb","READ","B","1","sona","Recall",0,"yes"
"w982469AN","READ","B","1","sona","Recall",0,"yes"
"w10060383","READ","F","1","sona","Recall",0,"yes"
"w10092569","READ","F","1","sona","Recall",100,"yes"
"w322833_tr","READ","F","1","sona","Recall",100,"yes"
"w917542_rm","READ","F","1","sona","Recall",0,"yes"
"w924600","READ","F","1","sona","Recall",0,"yes"
"w970403mb","READ","F","1","sona","Recall",0,"yes"
"w982469AN","READ","F","1","sona","Recall",0,"yes"
"w10060383","READ","U","1","sona","Recall",0,"yes"
"w10092569","READ","U","1","sona","Recall",100,"yes"
"w322833_tr","READ","U","1","sona","Recall",0,"yes"
"w917542_rm","READ","U","1","sona","Recall",0,"yes"
"w924600","READ","U","1","sona","Recall",0,"yes"
"w970403mb","READ","U","1","sona","Recall",0,"yes"
"w982469AN","READ","U","1","sona","Recall",0,"yes"
"w10060383","READ","U","1","sona","Recall",0,"yes"
"w10092569","READ","U","1","sona","Recall",0,"yes"
"w322833_tr","READ","U","1","sona","Recall",0,"yes"
"w917542_rm","READ","U","1","sona","Recall",0,"yes"
